dr_ndrugs,dr_kol,revenue,profit,abc_amount,abc_revenue,abc_profit,xyz
АЦИДИН-ПЕПСИН 250МГ. №50 ТАБ. /БЕЛМЕДПРЕПАРАТЫ/,1.0,166.0,45.0,C,C,C,
АЦИКЛОВИР 200МГ. №20 ТАБ. /АВЕКСИМА/,1.0,59.0,12.299999999999997,C,C,,
АЦИКЛОВИР 400МГ. №20 ТАБ. /АВЕКСИМА/,3.0,399.16999999999996,61.260000000000005,B,C,C,
АЦИКЛОВИР 5% 10Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /ВЕРТЕКС/,1.0,46.69,8.19,C,C,,
АЦИКЛОВИР 5% 10Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /ТАТХИМФАРМ/,8.0,160.0,28.72,A,C,C,Z
АЦИКЛОВИР ФОРТЕ-АЛИУМ 400МГ. №20 ТАБ. /АЛИУМ/,1.0,248.0,44.50999999999999,C,C,C,
АЦИКЛОВИР-АКОС 3% 5Г. №1 ГЛ. МАЗЬ ТУБА /СИНТЕЗ/,1.0,146.0,25.22,C,C,C,
АЦИКЛОВИР-АКОС 5% 5Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /СИНТЕЗ/,2.0,292.4,35.64000000000001,B,C,C,
АЦИКЛОВИР-АКРИХИН 200МГ. №20 ТАБ. /АКРИХИН/,43.0,2773.67,481.17999999999995,A,A,A,Z
АЦИКЛОВИР-АКРИХИН 400МГ. №20 ТАБ. /АКРИХИН/,28.0,7112.7,1027.42,A,A,A,Z
АЦИКЛОВИР-АКРИХИН 5% 10Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/,1.0,67.0,12.329999999999998,C,C,,
АЦИКЛОВИР-АКРИХИН 5% 5Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/,1.0,38.0,6.100000000000001,C,,,
АЦИКЛОВИР-БЕЛУПО 400МГ. №21 ТАБ. П/О /БЕЛУПО/,1.0,239.0,38.58000000000001,C,C,C,
АЦИКЛОВИР-БЕЛУПО 5% 10Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/,51.0,3613.85,618.36,A,A,A,Z
АЦИКЛОВИР-БЕЛУПО 5% 5Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/,10.0,515.86,84.16,A,B,C,X
АЦИКЛОВИР-САНДОЗ 200МГ. №25 ТАБ. /САНДОЗ/,1.0,239.0,40.91,C,C,C,
АЦИКЛОВИР-САНДОЗ 5% 2Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /САНДОЗ/,4.0,315.78,61.20000000000002,B,C,C,
АЦИПОЛ №30 КАПС.,8.0,3594.0,768.38,A,A,A,Z
АЦЦ 200 №20 ШИП.ТАБ. /САНДОЗ/,26.0,3481.42,519.42,A,A,A,
АЦЦ-ЛОНГ 600МГ. №10 ШИП.ТАБ. /САНДОЗ/,34.0,4927.09,627.3900000000001,A,A,A,Z
АЦЦ-ЛОНГ 600МГ. №20 ШИП.ТАБ. /САНДОЗ/,10.0,4801.35,630.2400000000001,A,A,A,Z
"АЭРТАЛ 1,5% 60Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА",10.0,4836.28,769.72,A,A,A,Z
АЭРТАЛ 100МГ. 3Г/ПАК. №20 ПОР. Д/СУСП. Д/ПРИЕМА ВНУТРЬ ПАК.,3.25,1816.0,381.67,B,A,A,Z
АЭРТАЛ 100МГ. №20 ТАБ. П/П/О,16.0,8138.4,1796.44,A,A,A,Z
АЭРТАЛ 100МГ. №60 ТАБ. П/П/О,4.666666,4839.329262,783.52650038,B,A,A,Z
Б.ВЕЛЛ ИНГАЛЯТОР КОМПРЕССОРНЫЙ НЕБУЛАЙЗЕР PRO-110 [B.WELL],1.0,2326.0,93.09000000000015,C,A,C,
Б.ВЕЛЛ ПУЛЬСОКСИМЕТР MED-320 [B.WELL],1.0,1899.0,513.3599999999999,C,A,A,
Б.ЛУКОШКО ЧАЙ ДЕТСК. МЕЛИССА+ЧАБРЕЦ+ФЕНХЕЛЬ 5МЕС. 1Г. №20 ПАК.,1.0,114.0,41.64,C,C,C,
Б.ЛУКОШКО ЧАЙ ДЕТСК. РОМАШКА 1Г. №20 ПАК. 1МЕС.,2.0,237.0,79.97,B,C,C,
Б.ЛУКОШКО ЧАЙ ДЕТСК. ШИПОВНИК 4МЕС. 1Г. №20 ПАК.,1.0,103.0,35.540000000000006,C,C,C,
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ 50Г. /КРАСНОГОРСК/,4.0,305.0,97.03,B,C,B,
БАДЯГА ФОРТЕ ГЕЛЬ 75МЛ.,2.0,159.16,45.849999999999994,B,C,C,
БАДЯГА ФОРТЕ ГЕЛЬ 75МЛ. ТУБА,1.0,89.0,33.16,C,C,C,
БАЗИРОН АС 5% 40Г. №1 ГЕЛЬ Д/НАРУЖ.ПРИМ. ТУБА,1.0,1296.0,242.76999999999998,C,B,B,
БАК-СЕТ БЕБИ 1Г. №10 ПОР. САШЕ,16.0,9549.58,1567.4699999999998,A,A,A,Z
БАК-СЕТ ФОРТЕ 210МГ. №10 КАПС.,8.0,3472.86,1016.8399999999999,A,A,A,Z
БАК-СЕТ ФОРТЕ 210МГ. №20 КАПС.,26.0,14540.0,2170.08,A,A,A,
БАКЛОСАН 10МГ. №50 ТАБ. /ПОЛЬФАРМА/,2.0,562.0,97.9,B,B,B,
БАКЛОСАН 25МГ. №50 ТАБ. /ПОЛЬФАРМА/,8.0,4044.0,670.1500000000001,A,A,A,Z
"БАКТЕРИОФАГ КОЛИПРОТЕЙНЫЙ 100МЛ. №1 Р-Р Д/ПРИЕМА ВНУТРЬ,Д/МЕСТ. И НАРУЖ.ПРИМ. ФЛ.",2.0,1664.0,65.33999999999992,B,A,C,
"БАКТЕРИОФАГ СТАФИЛОКОККОВЫЙ 100МЛ. №1 Р-Р Д/ПРИЕМА ВНУТРЬ,Д/МЕСТ. И НАРУЖ.ПРИМ. ФЛ.",1.0,1152.0,311.14,C,B,A,
БАКТИСТАТИН 500МГ. №20 КАПС.,2.0,1211.0,394.68,B,B,A,
БАКТОБЛИС №30 ТАБ. Д/РАСС. (БАД),3.0,4665.0,1072.3,B,A,A,
БАКТРОБАН 2% 3Г. №1 МАЗЬ ИНТРАНАЗАЛЬНАЯ ТУБА,1.0,926.0,188.48000000000002,C,B,B,
"БАЛАРПАН Н 0,01% 5МЛ. ГЛ.КАПЛИ ГЕЛЕВЫЙ ПРОТЕКТОР ФЛ. (ВИЗИТОН-ПЭГ)",3.0,3311.0,703.44,B,A,A,
"БАЛТИК МЕДИКАЛ БИНТ ЭЛАСТ. СР 1,5МX8СМ. №1",6.0,597.0,221.16,A,B,B,Z
БАЛТИК МЕДИКАЛ БИНТ ЭЛАСТ. СР 5МX10СМ. №1,1.0,305.0,106.19999999999999,C,C,B,
БАЛЬЗАМ КАРАВАЕВА АУРОН-РИТМ 140МЛ.,1.0,283.0,94.18,C,C,C,
БАЛЬЗАМ КАРАВАЕВА ВИТАОН 30МЛ. Д/ПОЛОСТИ РТА ФЛ.,2.0,583.0,160.48000000000002,B,B,B,
БАЛЬЗАМ КАРАВАЕВА ВИТАОН 30МЛ. ФЛ.,2.0,510.0,174.98000000000002,B,B,B,
БАЛЬЗАМ КАРАВАЕВА ВИТАОН 50МЛ. ФЛ.,2.0,694.0,216.51999999999998,B,B,B,
БАЛЬЗАМ КАРАВАЕВА ВИТАОН БЕБИ 30МЛ. ФЛ.,1.0,262.0,95.15,C,C,C,
БАЛЬЗАМ КАРАВАЕВА ВИТАОН-ЛЮКС 25МЛ. ФЛ.,6.0,1770.0,515.45,A,A,A,Z
БАЛЬЗАМИР БАЛЬЗАМ ХВОЙНЫЙ Д/ВАНН 500МЛ.,1.0,110.0,2.5999999999999943,C,C,,
БАНДАЖ НА ГОЛЕНОСТОП Р.2 M,1.0,230.0,74.24000000000001,C,C,C,
БАНЕОЦИН 10Г. №1 ПОР. Д/НАРУЖ.ПРИМ. ФЛ./ДОЗ.,12.0,6449.3099999999995,1497.3,A,A,A,Z
БАНКИ ПЛАСТ. ПНЕВМАТИЧ. №2,1.0,186.0,68.07,C,C,C,
БАРАКЛЮД 1МГ. №30 ТАБ. П/П/О /АСТРА ЗЕНЕКА/,1.0,11947.0,782.0,C,A,A,
БАРАЛГИН М 500МГ. №100 ТАБ.,1.4000000000000001,1724.6,323.039,C,A,A,Z
БАРАЛГИН М 500МГ. №20 ТАБ.,3.0,890.0,236.64,B,B,B,
"БАРАЛГИН М 500МГ/МЛ. 5МЛ. №5 Р-Р Д/В/М,В/В АМП.",6.0,2150.0,421.89,A,A,A,
БАРСУКОР БАЛЬЗАМ РАЗОГРЕВ. МАССАЖНЫЙ Д/ВЗР. 50МЛ.,1.0,131.0,45.459999999999994,C,C,C,
БАРСУКОР БАЛЬЗАМ-КРЕМ РАЗОГРЕВ. МАССАЖНЫЙ ДЕТСКИЙ 50МЛ.,2.0,211.22,59.69,B,C,C,
БАРСУКОР БАРСУЧИЙ ЖИР 200МГ. №100 КАПС.,2.0,687.0,230.48000000000002,B,B,B,
БАРСУЧИЙ ЖИР Р-Р Д/ПРИЕМА ВНУТРЬ 100МЛ. /БАГИРА/,1.0,341.0,77.99000000000001,C,C,C,
БАРХАТНЫЕ РУЧКИ КРЕМ Д/РУК ПИТАТ. 80МЛ. ТУБА,1.0,82.03,26.54,C,C,C,
БАРХАТНЫЕ РУЧКИ КРЕМ Д/РУК РЕГЕНЕР. ЗАЖИВЛ. 80МЛ. ТУБА,1.0,133.0,45.56,C,C,C,
БАРХАТНЫЕ РУЧКИ КРЕМ Д/РУК СМЯГЧАЮЩИЙ 80МЛ. ТУБА,1.0,120.0,41.230000000000004,C,C,C,
БАХИЛЫ ОСОБО ПРОЧНЫЕ №50 (25ПАР),15.0,1351.0,452.17,A,B,A,
БАХИЛЫ ЭКОНОМ №10 (5ПАР) ГЛАДКИЕ,4.0,78.0,28.970000000000002,B,C,C,
БАХИЛЫ №10 (5ПАР),21.0,293.0,111.5,A,C,B,Z
БАХИЛЫ №100 (50ПАР),1.0,139.0,42.43000000000001,C,C,C,
БАЦИНЕЦИН 250МЕ/Г.+5000МЕ/Г. 10Г. ПОР. Д/НАРУЖ.ПРИМ. ФЛ.,1.0,397.0,110.00999999999999,C,C,B,
БАЦИНЕЦИН 250МЕ/Г.+5000МЕ/Г. 20Г. МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,3.0,1410.0,326.69999999999993,B,B,A,
БЕЙБИ КАЛМ Д/МЛАДЕНЦЕВ 15МЛ. КАПЛИ (СИРОП) ФЛ. БЕБИ,4.0,2149.0,664.3399999999999,B,A,A,
БЕКАРБОН №6 ТАБ. /ТАТХИМФАРМ/,1.0,44.0,15.469999999999999,C,,,
БЕКСИСТ-САНОВЕЛЬ 120МГ. №20 ТАБ. П/П/О,1.0,587.0,136.10000000000002,C,B,B,
БЕЛАРА №21 ТАБ. П/П/О,1.0,1011.0,202.67999999999995,C,B,B,
БЕЛАРА №21Х3(63) ТАБ. П/П/О,0.666666,1832.001381,243.88296911999998,C,A,B,
БЕЛЛА ВАТНЫЕ ПАЛОЧКИ №200 КАРТОН [BELLA],4.0,347.0,107.15,B,C,B,
БЕЛЛА ВАТНЫЕ ПАЛОЧКИ №200 ПЛАСТ.КВАД. [BELLA],4.0,381.0,132.18,B,C,B,X
БЕЛЛА КОТТОН ВАТНЫЕ ПАЛОЧКИ №100 ПЭТ [BELLA],5.0,220.0,82.8,B,C,C,X
БЕЛЛА КОТТОН ДИСКИ (ПОДУШЕЧКИ) №120 КРУГЛ. [BELLA],5.0,682.0,112.73000000000002,B,B,B,
БЕЛЛА КОТТОН ДИСКИ (ПОДУШЕЧКИ) №140 ХЛОПОК [BELLA],3.0,310.0,109.62999999999998,B,C,B,
БЕЛЛА КОТТОН ДИСКИ (ПОДУШЕЧКИ) №80 КРУГЛ. [BELLA],1.0,87.0,30.0,C,C,C,
БЕЛЛА ПЛАТОЧКИ НОСОВЫЕ №10Х10УП. [BELLA],0.2,31.400000000000002,11.744,C,,,
БЕЛЛА ПЛАТОЧКИ НОСОВЫЕ №10Х1УП. [BELLA],5.0,102.8,37.629999999999995,B,C,C,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ АРОМА ЭНЕРДЖИ №50+10 (60) [BELLA],4.0,591.0,139.68,B,B,B,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ СЛИМ №40 БЕЛ.+ЧЕРН. [BELLA],1.0,221.0,76.87,C,C,C,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ СОФТ ВЕРБЕНА №20 [BELLA],2.0,86.43,-9.990000000000002,B,C,,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ СОФТ №20 ОРАНЖ. [BELLA],1.0,85.0,30.54,C,C,C,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ СОФТ №60 (50+10) [BELLA],1.0,157.0,11.210000000000008,C,C,,
БЕЛЛА ПРОКЛАДКИ ЕЖЕДН. ПАНТИ ФЛОРА РОМАШКА №70 [BELLA],1.0,170.0,11.639999999999986,C,C,,
БЕЛЛА ПРОКЛАДКИ КЛАССИК НОВА КОМФОРТ ДРАЙ №10 [BELLA],1.0,143.28,46.93000000000001,C,C,C,
БЕЛЛА ПРОКЛАДКИ КЛАССИК НОВА МАКСИ №10 [BELLA],4.0,604.0,210.46000000000004,B,B,B,
БЕЛЛА ПРОКЛАДКИ ПЕРФЕКТА УЛЬТРА НАЙТ ЭКСТРА СОФТ №7 [BELLA],2.0,372.0,128.86,B,C,B,
БЕЛЛА ПРОКЛАДКИ ПЕРФЕКТА УЛЬТРА СИН. №10 [BELLA],1.0,182.0,63.55,C,C,C,
БЕЛЛАЛГИН №20 ТАБ. /ДАЛЬХИМФАРМ/,1.0,97.0,30.64,C,C,C,
БЕЛЛАСТЕЗИН 300МГ. №10 ТАБ. /ТАТХИМФАРМ/,7.0,634.0,130.20000000000002,A,B,B,
БЕЛОБАЗА КРЕМ Д/СУХ. И ОЧ.ЧУХОЙ КОЖИ 100МЛ.,1.0,753.0,33.89999999999998,C,B,C,
БЕЛОБАЗА КРЕМ Д/СУХ. И ОЧ.ЧУХОЙ КОЖИ 40Г.,1.0,445.0,110.92000000000002,C,C,B,
"БЕЛОГЕНТ 0,05%+0,1% 15Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",1.0,241.0,65.6,C,C,C,
"БЕЛОГЕНТ 0,05%+0,1% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",2.0,881.0,116.04000000000002,B,B,B,
"БЕЛОГЕНТ 0,05%+0,1% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",1.0,561.0,136.2,C,B,B,
"БЕЛОДЕРМ 0,05% 15Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",2.0,176.0,29.879999999999995,B,C,C,
"БЕЛОДЕРМ 0,05% 15Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",1.0,98.0,16.72,C,C,C,
"БЕЛОДЕРМ 0,05% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",2.0,315.48,35.70000000000003,B,C,C,
"БЕЛОДЕРМ 0,05% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",2.0,393.0,46.579999999999984,B,C,C,
"БЕЛОДЕРМ 0,05% 40Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",2.0,458.0,71.89999999999998,B,C,C,
"БЕЛОДЕРМ 0,05% 40Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /БЕЛУПО/",1.0,263.29,41.420000000000016,C,C,C,
"БЕЛОДЕРМ ЭКСПРЕСС 0,05% 50МЛ. №1 СПРЕЙ Д/НАРУЖ.ПРИМ. ФЛ.",1.0,916.0,183.39999999999998,C,B,B,
БЕЛОРУЧКА КРЕМ Д/РУК И НОГТЕЙ ПИТАТ. 75МЛ.,5.0,305.59000000000003,115.78,B,C,B,Z
БЕЛОРУЧКА КРЕМ Д/РУК СМЯГЧ. 75МЛ.,10.0,670.59,251.29999999999998,A,B,B,Z
БЕЛОРУЧКА КРЕМ Д/РУК УВЛАЖН. 75МЛ.,1.0,74.0,28.83,C,C,C,
БЕЛОСАЛИК 15Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,2.0,699.0,189.94,B,B,B,
БЕЛОСАЛИК 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,2.0,1222.0,284.54999999999995,B,B,B,
БЕЛОСАЛИК 40Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,3.0,2595.0,630.1999999999999,B,A,A,
БЕЛОСАЛИК ЛОСЬОН 100МЛ. Р-Р Д/НАРУЖ.ПРИМ. СПРЕЙ ФЛ.+НАСАДКА РАСПЫЛИТЕЛЬ,1.0,1546.0,289.8499999999999,C,B,A,
БЕЛОСАЛИК ЛОСЬОН 50МЛ. Р-Р Д/НАРУЖ.ПРИМ. СПРЕЙ ФЛ.+НАСАДКА РАСПЫЛИТЕЛЬ,1.0,497.0,27.220000000000027,C,B,C,
БЕЛОСАЛИК ЛОСЬОН 50МЛ. Р-Р Д/НАРУЖ.ПРИМ. ФЛ./КАП.,3.0,2130.3,420.04,B,A,A,
"БЕЛЬВЕДЕР БАЛЬЗАМ Д/ГУБ РОЗ. МАСЛО ПЕРЛ. 4/4,5Г. ПЕНАЛ [BELWEDER]",1.0,273.0,97.46000000000001,C,C,B,
"БЕЛЬВЕДЕР БАЛЬЗАМ Д/ГУБ ФИТОСТЕРОЛ РАСЦВЕТ. РОЗОВ. 4/4,5Г. СТИК [BELWEDER]",1.0,303.0,94.03,C,C,C,
БЕЛЬВЕДЕР ВОСК Д/КУТИКУЛЫ И НОГТЕЙ ПАНТЕНОЛ ФОРТЕ 6МЛ. [BELWEDER],1.0,311.0,16.05000000000001,C,C,C,
БЕЛЬВЕДЕР ГЕЛЬ Д/УДАЛ. КУТИКУЛЫ ГЛИЦЕР.+АЛОЭ 8МЛ. ФЛ. [BELWEDER],1.0,195.0,14.590000000000003,C,C,,
БЕЛЬВЕДЕР ЛАК Д/НОГТЕЙ 3В1 8МЛ. [BELWEDER],1.0,310.0,17.379999999999995,C,C,C,
БЕЛЬВЕДЕР ПОМАДА ГИАЛУРОН. К-ТА 4Г. [BELWEDER],2.0,830.0,258.82000000000005,B,B,B,
"БЕЛЬВЕДЕР ПОМАДА ЗАЩИТНО-РЕГЕНЕР. АЛОЭ+ВИТАМ.Е+ХЛОП.МАСЛО 4/4,5Г. [BELWEDER]",1.0,303.0,94.25999999999999,C,C,C,
"БЕЛЬВЕДЕР ПОМАДА С/ЗАЩ. SPF20 УВЛАЖН. 4/4,5Г. [BELWEDER]",3.0,930.0,298.49,B,B,A,
БЕН-ГЕЙ 50Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА,3.0,1238.0,214.64,B,B,B,
БЕНЗИЛБЕНЗОАТ 20% 25Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АЛТАЙВИТАМИНЫ/,1.0,21.0,3.1499999999999986,C,,,
БЕНЗИЛБЕНЗОАТ 20% 25Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /ТУЛЬСКАЯ ФФ/,4.0,120.0,20.82,B,C,C,
БЕНОВИ ПЕРЧАТКИ СМОТР. ВИНИЛ Н/СТЕР. ПРОЗРАЧ. Р.M №100 (50 ПАР) [BENOVY],0.02,6.74,2.0916,,,,
БЕПАНТЕН 5% 100Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА,3.0,3265.0,391.6,B,A,A,
БЕПАНТЕН 5% 100Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,5.0,5608.0,1049.07,B,A,A,
БЕПАНТЕН 5% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА,7.0,4205.59,814.25,A,A,A,Z
БЕПАНТЕН 5% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,9.0,5021.0,896.4800000000001,A,A,A,Z
БЕПАНТЕН 5% 50Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,7.0,5574.0,1064.8199999999997,A,A,A,Z
БЕПАНТЕН ПЛЮС 5% 100Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА,4.0,4226.0,501.1,B,A,A,
БЕПАНТЕН ПЛЮС 5% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА,4.0,2642.0,504.19000000000005,B,A,A,
"БЕРГОЛАК 0,5МГ. №2 ТАБ. /ВЕРОФАРМ/",1.0,480.0,21.629999999999995,C,C,C,
БЕРЕЗОВЫЕ ПОЧКИ 50Г. /ЗДОРОВЬЕ/,1.0,204.0,45.0,C,C,C,
БЕРЕЗОВЫЕ ПОЧКИ 50Г. /КРАСНОГОРСК/,2.0,438.0,117.66999999999999,B,C,B,
БЕРЛИПРИЛ 10МГ. №30 ТАБ. /БЕРЛИН-ХЕМИ/,5.0,632.0,108.24000000000001,B,B,B,
БЕРЛИПРИЛ 20МГ. №30 ТАБ. /БЕРЛИН-ХЕМИ/,5.0,937.0,152.59000000000003,B,B,B,
БЕРЛИПРИЛ 5МГ. №30 ТАБ. /БЕРЛИН-ХЕМИ/,1.0,73.0,10.439999999999998,C,C,,
БЕРЛИТИОН 300МГ. №30 ТАБ. П/П/О /БЕРЛИН ХЕМИ/,4.0,3039.0,221.01999999999998,B,A,B,
БЕРЛИТИОН 600 25МГ/МЛ. 24МЛ. №5 КОНЦ. Д/ИНФ. АМП. /БЕРЛИН-ХЕМИ/,5.0,4636.26,394.04999999999995,B,A,A,
"БЕРОДУАЛ 0,25МГ.+0,5МГ/МЛ. 20МЛ. Р-Р Д/ИНГ. ФЛ. /БЕРИНГЕР/",26.0,7534.17,1057.25,A,A,A,
БЕРОДУАЛ Н 20МКГ+50МКГ/ДОЗА 200ДОЗ 10МЛ. АЭРОЗОЛЬ Д/ИНГ. БАЛЛОН /БЕРИНГЕР/,16.0,8418.4,1218.5400000000002,A,A,A,Z
БЕРОККА ПЛЮС АПЕЛЬСИН №15 ШИП.ТАБ.,1.0,1112.0,222.55999999999995,C,B,B,
БЕРОККА ПЛЮС АПЕЛЬСИН №30 ШИП.ТАБ.,2.0,3242.0,607.27,B,A,A,
БЕРОККА ПЛЮС №30 ТАБ. П/П/О,1.0,1060.0,167.60000000000002,C,B,B,
БЕРОТЕК Н 100МКГ/ДОЗА 200ДОЗ 10МЛ. АЭРОЗОЛЬ Д/ИНГ. БАЛЛОН,1.0,525.0,118.32999999999998,C,B,B,
БЕТАГИСТИН 16МГ. №30 ТАБ. /ВЕРТЕКС/,2.0,486.0,32.80000000000001,B,C,C,
БЕТАГИСТИН 16МГ. №30 ТАБ. /КАНОНФАРМА/,7.0,838.0,172.45999999999998,A,B,B,
БЕТАГИСТИН 24МГ. №20 ТАБ. /КАНОНФАРМА/,1.0,157.0,63.86,C,C,C,
БЕТАГИСТИН 24МГ. №60 ТАБ. /ВЕРТЕКС/,4.0,2279.0,208.79999999999995,B,A,B,X
БЕТАГИСТИН 24МГ. №60 ТАБ. /ОЗОН/,2.0,786.0,124.82999999999998,B,B,B,
БЕТАГИСТИН 8МГ. №30 ТАБ. /ВЕРТЕКС/,1.0,139.0,10.300000000000011,C,C,,
БЕТАГИСТИН 8МГ. №30 ТАБ. /КАНОНФАРМА/,1.0,92.0,16.959999999999994,C,C,C,
БЕТАГИСТИН-СЗ 16МГ. №60 ТАБ. /СЕВЕРНАЯ ЗВЕЗДА/,2.0,380.0,62.75999999999999,B,C,C,
БЕТАГИСТИН-СЗ 24МГ. №60 ТАБ. /СЕВЕРНАЯ ЗВЕЗДА/,2.0,629.0,78.63000000000002,B,B,C,
БЕТАДИН 10% 120МЛ. №1 Р-Р Д/МЕСТ. И НАРУЖ.ПРИМ. ФЛ. /ЭГИС/,13.0,3957.08,383.7100000000001,A,A,A,Z
БЕТАДИН 10% 20Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА,2.0,609.0,125.22,B,B,B,
БЕТАДИН 10% 30МЛ. №1 Р-Р Д/МЕСТ. И НАРУЖ.ПРИМ. ФЛ. /ЭГИС/,18.0,3142.07,449.71000000000004,A,A,A,Z
"БЕТАКСОЛОЛ 0,5% 5МЛ. №1 ГЛ.КАПЛИ ФЛ. /ВИПС-МЕД/",1.0,127.07,12.829999999999998,C,C,,
БЕТАКСОЛОЛ 20МГ. №30 ТАБ. П/П/О /ВЕЛФАРМ/,1.0,560.0,135.95,C,B,B,
"БЕТАКСОЛОЛ-СОЛОФАРМ 0,5% 5МЛ. №1 ГЛ.КАПЛИ ФЛ./КАП.",3.0,1182.0,205.40000000000003,B,B,B,
БЕТАЛОК ЗОК 100МГ. №30 ТАБ.ПРОЛОНГ. П/О /АСТРА ЗЕНЕКА/,2.0,795.0,91.03999999999996,B,B,C,
БЕТАЛОК ЗОК 25МГ. №14 ТАБ.ПРОЛОНГ. П/О /АСТРА ЗЕНЕКА/,48.0,6853.31,792.1299999999999,A,A,A,Z
БЕТАЛОК ЗОК 50МГ. №30 ТАБ.ПРОЛОНГ. П/О /АСТРА ЗЕНЕКА/,14.0,4087.0,516.4599999999999,A,A,A,Z
БЕТАСЕРК 16МГ. №30 ТАБ. /ЭББОТ/,6.0,3693.9,250.96999999999994,A,A,B,Z
БЕТАСЕРК 24МГ. №20 ТАБ. /ЭББОТ/,7.0,3949.0,283.4000000000001,A,A,B,Z
БЕТАСЕРК 24МГ. №60 ТАБ. /ЭББОТ/,4.0,5254.0,291.1300000000001,B,A,A,
БЕТАСЕРК 8МГ. №30 ТАБ. /ЭББОТ/,2.0,909.0,113.82999999999998,B,B,B,
БЕТАСЕРК ЛОНГ 48МГ. №28 ТАБ. МОДИФ.ВЫСВ. П/П/О /ВЕРОФАРМ/,1.0,1646.0,292.1099999999999,C,A,A,
БЕТАСПАН ДЕПО 7МГ/МЛ. 1МЛ. №1 СУСП. Д/ИН. АМП.,2.0,586.0,121.27999999999997,B,B,B,
БЕТМИГА 50МГ. №30 ТАБ.ПРОЛОНГ. П/П/О,1.0,3210.0,814.9499999999998,C,A,A,
"БЕТОПТИК 0,5% 5МЛ. ГЛ.КАПЛИ ФЛ./КАП.",5.0,2684.0,494.78999999999996,B,A,A,Z
"БЕТОФТАН 0,5% 5МЛ. ГЛ.КАПЛИ ФЛ./КАП.",1.0,433.0,81.31,C,C,C,
БИБЛ ГЕЛЬ П/ПРОРЕЗ. ЗУБОВ 20МЛ. [BEBBLE],1.0,311.0,17.370000000000005,C,C,C,
БИДОП 5МГ. №56 ТАБ. П/О /ГЕДЕОН РИХТЕР/,2.0,620.98,84.31,B,B,C,
"БИДОП КОР 2,5МГ. №28 ТАБ. П/О /ГЕДЕОН РИХТЕР/",2.0,235.0,37.739999999999995,B,C,C,
"БИДОП КОР 2,5МГ. №56 ТАБ. П/О /ГЕДЕОН РИХТЕР/",2.0,420.0,65.58000000000001,B,C,C,
БИКСИТОР 120МГ. №10 ТАБ. П/П/О,1.0,396.0,74.13,C,C,C,
